Type,Air_Temperature,Process_Temperature,Rotational_Speed,Torque,Tool_Wear,Failure,TWF,HDF,PWF,OSF,RNF
M,299.0,308.7,1620,35.4,199,0,0,0,0,0,0
L,298.0,307.8,1622,33.3,121,0,0,0,0,0,0
L,298.5,308.2,1444,40.5,170,0,0,0,0,0,0
H,296.9,307.8,1549,35.8,206,1,1,0,0,0,0
L,298.3,308.0,1442,47.3,65,0,0,0,0,0,0
M,299.7,310.5,1492,39.3,131,0,0,0,0,0,0
H,300.4,309.4,1530,40.4,112,0,0,0,0,0,0
L,302.5,310.2,1307,54.0,86,1,0,1,0,0,0
L,303.7,312.7,1359,56.8,194,1,0,0,0,1,0
L,298.3,307.9,1703,28.9,147,0,0,0,0,0,0
L,297.0,307.8,1774,28.0,188,0,0,0,0,0,0
L,299.1,310.1,1435,48.8,229,1,0,0,0,1,0
L,299.4,309.3,1596,31.8,40,0,0,0,0,0,0
M,297.4,308.8,1325,62.4,204,1,1,0,0,1,0
M,300.5,309.7,1389,43.3,9,0,0,0,0,0,0
L,298.8,308.8,1523,44.4,55,0,0,0,0,0,0
M,301.7,311.1,1618,36.7,115,0,0,0,0,0,0
H,298.6,309.7,1463,39.1,66,0,0,0,0,0,0
L,303.9,313.3,1394,51.6,121,0,0,0,0,0,0
H,298.5,309.3,1421,50.3,124,0,0,0,0,0,0
M,300.4,310.2,1671,30.5,234,1,1,0,0,0,0
L,297.4,308.7,2874,4.2,118,1,0,0,1,0,0
M,297.9,308.8,1538,37.6,54,0,0,0,0,0,0
L,300.4,311.9,1868,21.3,92,0,0,0,0,0,0
H,302.8,312.4,1411,53.8,246,1,0,0,0,1,0
M,302.1,310.0,1355,45.1,6,1,0,1,0,0,0
L,297.5,308.9,1729,28.1,189,0,0,0,0,0,0
L,300.8,311.3,1462,41.4,75,0,0,0,0,0,0
M,297.3,308.6,1431,53.0,160,0,0,0,0,0,0
L,301.0,310.1,1558,32.6,0,0,0,0,0,0,0
L,299.1,309.8,1398,55.4,217,1,0,0,0,1,0
L,297.1,308.2,1402,51.2,186,0,0,0,0,0,0
M,297.3,308.3,1459,59.6,207,1,0,0,1,1,0
L,301.7,309.9,1317,49.0,187,1,0,1,0,0,0
L,302.2,310.9,1452,42.3,56,0,0,0,0,0,0
L,295.6,306.1,1372,55.6,215,1,0,0,0,1,0
L,300.5,310.5,2633,12.2,17,1,0,0,1,0,0
L,302.4,311.9,1290,70.0,139,1,0,0,1,0,0
L,300.1,311.3,2579,12.5,64,1,0,0,1,0,0
L,299.6,310.9,1229,65.2,209,1,0,0,0,1,0
M,302.3,311.8,1363,54.0,119,1,0,0,0,0,0
M,301.8,310.1,2372,13.9,205,1,0,0,1,0,0
M,303.0,312.3,1674,29.5,109,0,0,0,0,0,0
M,299.0,310.3,1303,68.6,111,1,0,0,1,0,0
L,303.3,311.4,1497,46.0,234,1,1,0,0,0,0
L,302.7,310.5,1446,40.9,211,1,1,0,0,0,0
L,300.3,310.7,1539,32.3,123,0,0,0,0,0,0
L,299.0,310.0,1672,33.2,144,0,0,0,0,0,0
L,301.9,310.4,1376,54.9,126,1,0,1,0,0,0
M,298.0,307.8,1492,40.2,197,0,0,0,0,0,0
L,298.2,307.8,1627,31.5,64,0,0,0,0,0,0
L,300.7,309.5,1479,34.5,197,0,0,0,0,0,0
L,300.4,311.1,1405,54.1,193,0,0,0,0,0,0
M,300.8,309.4,1342,62.4,113,1,0,1,0,0,0
L,299.6,309.2,1540,36.7,221,0,0,0,0,0,0
M,298.5,309.3,1615,31.8,23,0,0,0,0,0,0
L,303.0,311.2,1341,51.0,174,1,0,1,0,0,0
M,303.2,311.5,1336,58.2,2,1,0,1,0,0,0
L,299.1,310.5,1419,48.8,76,0,0,0,0,0,0
L,302.3,310.8,1377,47.3,22,1,0,1,0,0,0
L,297.0,308.1,1489,44.1,96,0,0,0,0,0,0
H,297.9,307.4,1604,36.1,225,1,1,0,0,0,0
L,302.4,310.2,1351,45.1,168,1,0,1,0,0,0
M,298.0,308.2,1373,51.2,215,0,0,0,0,0,0
M,300.8,310.3,1494,42.2,35,0,0,0,0,0,0
L,302.6,310.4,1359,57.2,67,1,0,1,0,0,0
M,302.6,310.2,2676,10.8,84,1,0,0,1,0,0
L,298.2,308.6,1433,39.5,7,0,0,0,0,0,0
M,299.3,308.4,1542,37.5,203,1,1,0,0,0,0
L,298.1,309.0,1787,27.6,47,0,0,0,0,0,0
L,301.8,310.3,1341,50.5,64,1,0,1,0,0,0
L,300.6,310.8,1375,53.2,179,0,0,0,0,0,0
M,304.2,313.2,1396,50.5,11,0,0,0,0,0,0
M,300.2,310.2,1438,51.5,7,0,0,0,0,0,0
L,301.8,310.2,1457,40.4,213,0,0,0,0,0,0
M,300.4,309.4,1362,42.1,182,0,0,0,0,0,0
H,302.3,310.9,1366,48.4,130,1,0,1,0,0,0
L,301.4,309.9,1259,63.9,20,1,0,1,0,0,0
L,300.5,309.8,1379,54.2,207,1,0,0,0,1,0
M,297.5,308.1,1469,44.8,5,0,0,0,0,0,0
M,302.9,312.5,1551,40.0,20,0,0,0,0,0,0
M,297.6,308.3,1567,34.6,71,0,0,0,0,0,0
L,298.0,308.3,1362,56.8,216,1,0,0,0,1,0
L,302.3,311.0,1657,31.1,3,0,0,0,0,0,0
L,299.2,308.5,1378,50.4,220,1,0,0,0,1,0
M,298.2,308.5,2678,10.7,86,1,0,0,1,0,0
L,297.0,307.8,1316,61.2,200,1,0,0,0,1,0
L,299.0,309.9,1373,55.7,201,1,0,0,0,1,0
L,302.7,310.5,1263,67.8,197,1,0,1,0,1,0
L,302.2,310.6,1346,47.5,109,1,0,1,0,0,0
L,301.5,310.9,1318,50.6,11,0,0,0,0,0,0
L,302.6,310.9,1331,52.0,154,1,0,1,0,0,0
L,299.1,308.8,1320,67.5,20,1,0,0,1,0,0
M,298.5,309.7,1354,60.8,96,0,0,0,0,0,0
L,299.1,310.0,1367,56.3,203,1,0,0,0,1,0
L,301.7,310.2,1311,57.4,40,1,0,1,0,0,0
L,302.3,311.5,1387,47.3,2,0,0,0,0,0,0
L,303.0,311.3,2194,16.5,148,0,0,0,0,0,0
L,297.5,308.5,1546,40.4,129,0,0,0,0,0,0
L,297.6,309.6,1501,49.8,222,1,0,0,0,1,0
L,298.8,308.7,1635,35.2,47,0,0,0,0,0,0
L,302.1,310.7,1325,45.1,208,1,0,1,0,0,0
H,298.8,309.9,1439,45.2,40,1,0,0,0,0,0
L,301.7,310.6,1513,41.1,64,0,0,0,0,0,0
M,301.7,311.0,1311,46.8,136,0,0,0,0,0,0
L,296.9,308.1,1422,48.7,215,0,0,0,0,0,0
M,299.7,310.5,1490,41.2,126,0,0,0,0,0,0
L,300.5,309.8,1663,29.1,145,1,0,0,0,0,0
L,303.3,311.4,1510,37.3,36,0,0,0,0,0,0
L,296.4,307.4,2833,5.6,213,1,0,0,1,0,0
H,301.4,311.1,1445,41.4,144,0,0,0,0,0,0
L,300.7,311.7,1499,38.4,205,0,0,0,0,0,0
L,297.0,307.8,1385,56.4,202,1,0,0,0,1,0
L,302.3,310.8,1723,26.3,213,0,0,0,0,0,0
L,299.8,310.5,1496,38.8,215,0,0,0,0,0,0
L,303.5,311.9,1344,49.3,93,1,0,1,0,0,0
L,299.0,308.8,1310,50.7,112,0,0,0,0,0,0
L,300.2,309.8,1481,41.9,106,0,0,0,0,0,0
L,301.4,311.1,1494,41.9,142,0,0,0,0,0,0
M,300.9,310.7,1485,41.0,181,0,0,0,0,0,0
L,303.2,311.4,1324,54.2,228,1,0,1,0,1,0
L,299.5,309.1,1357,47.3,106,0,0,0,0,0,0
H,298.3,307.9,1420,39.2,176,0,0,0,0,0,0
L,298.2,309.4,1447,47.1,185,0,0,0,0,0,0
L,298.8,309.1,1350,52.5,111,0,0,0,0,0,0
L,297.5,309.1,1515,35.1,213,0,0,0,0,0,0
L,302.0,310.4,1336,58.2,110,1,0,1,0,0,0
L,300.9,310.8,1482,37.0,5,0,0,0,0,0,0
L,300.4,310.0,1769,26.1,38,0,0,0,0,0,0
L,297.5,308.6,1596,37.1,30,0,0,0,0,0,0
M,302.1,311.2,1616,35.1,57,0,0,0,0,0,0
L,302.1,310.7,1314,52.8,8,1,0,1,0,0,0
L,300.6,309.6,1682,30.7,78,0,0,0,0,0,0
M,302.1,310.6,1326,59.1,88,1,0,1,0,0,0
L,302.0,311.0,1550,35.2,184,0,0,0,0,0,0
M,301.6,310.7,2012,20.7,178,0,0,0,0,0,0
M,298.5,308.3,1381,50.5,22,0,0,0,0,0,0
M,299.2,308.8,1503,37.4,109,0,0,0,0,0,0
L,299.0,310.1,1531,36.0,57,0,0,0,0,0,0
L,301.9,310.5,1340,55.7,204,1,0,0,0,1,0
L,300.8,312.4,1465,59.1,91,1,0,0,1,0,0
L,299.0,310.3,1552,39.9,114,0,0,0,0,0,0
M,301.2,312.4,1505,39.6,102,0,0,0,0,0,0
L,301.0,310.9,1473,44.2,116,0,0,0,0,0,0
M,300.0,309.2,1635,32.4,4,0,0,0,0,0,0
L,299.1,308.4,1693,31.6,65,0,0,0,0,0,0
L,302.5,311.5,1985,18.8,190,0,0,0,0,0,0
L,300.7,311.9,1335,57.1,194,1,0,0,0,1,0
L,297.1,308.5,1323,44.4,207,1,1,0,0,0,0
L,303.2,311.4,1349,51.1,9,1,0,1,0,0,0
L,300.7,310.1,1261,56.6,98,0,0,0,0,0,0
L,302.6,312.1,1288,68.5,0,1,0,0,1,0,0
L,299.8,309.2,1400,42.6,210,0,0,0,0,0,0
L,297.3,308.3,1410,48.1,23,0,0,0,0,0,0
L,298.1,307.9,1614,35.8,196,0,0,0,0,0,0
H,300.4,311.2,1489,45.3,180,0,0,0,0,0,0
L,300.1,311.3,1676,30.3,151,0,0,0,0,0,0
M,300.6,309.4,1367,63.2,45,1,0,0,1,0,0
L,301.4,310.9,1440,45.4,177,0,0,0,0,0,0
L,297.9,309.8,1336,71.6,31,1,0,0,1,0,0
M,298.5,308.6,1897,20.2,50,0,0,0,0,0,0
L,303.2,311.3,1393,52.9,12,0,0,0,0,0,0
L,300.8,310.1,1405,61.2,189,1,0,0,1,1,0
L,298.4,308.3,1433,62.3,20,1,0,0,1,0,0
M,302.7,311.1,1297,60.7,125,1,0,1,0,0,0
L,301.9,310.8,1540,37.6,83,0,0,0,0,0,0
L,300.7,310.9,1637,37.2,115,0,0,0,0,0,0
M,300.4,310.5,1500,43.0,9,0,0,0,0,0,0
L,298.2,307.9,1399,54.9,139,0,0,0,0,0,0
L,302.5,310.4,1349,55.1,187,1,0,1,0,0,0
L,303.4,311.8,1306,61.0,215,1,0,1,0,1,0
M,301.1,311.3,1836,22.8,31,0,0,0,0,0,0
M,297.2,308.3,1326,57.2,100,0,0,0,0,0,0
L,298.4,308.2,1282,60.7,216,1,0,0,0,1,0
L,303.4,312.0,1521,35.9,215,1,1,0,0,0,0
L,296.8,307.6,1513,40.0,130,0,0,0,0,0,0
L,300.1,311.4,1467,35.7,45,0,0,0,0,0,0
H,302.1,310.7,1294,62.4,101,1,0,1,0,0,0
M,302.2,311.3,1375,47.0,98,0,0,0,0,0,0
M,300.2,311.6,1510,47.5,146,0,0,0,0,0,0
L,298.3,307.9,1766,26.5,145,0,0,0,0,0,0
L,300.6,311.9,1372,60.1,212,1,0,0,0,1,0
L,303.5,312.9,1332,52.9,66,0,0,0,0,0,0
L,297.6,308.4,1626,32.4,130,0,0,0,0,0,0
L,296.8,308.1,1289,62.0,199,1,0,0,0,1,0
